kanji,components,component_ids,radical,stroke_count,onyomi,onyomi_all,kunyomi,meaning,pinyin,pinyin_initial,pinyin_final,pinyin_tone,nasal_coda,jlpt_level
亜,"[""二"", ""口""]","[57, 593]",二,7,ア,"[""ア""]",,次、準ずる,yà,y,a,4,none,N1
唖,"[""二"", ""口"", ""亜""]","[57, 593, 66]",口,10,ア,"[""ア""]",,おし（しゃべれない人）,yǎ,y,a,3,none,N1+
娃,"[""女"", ""土"", ""圭""]","[1028, 844, 848]",女,9,ア,"[""ア"", ""アイ""]",,美しい女,wá,w,a,2,none,N1+
阿,"[""口"", ""丁"", ""可""]","[593, 1, 603]",阜,8,ア,"[""ア""]",おもね・る,,ā,,a,1,none,N1+
哀,"[""亠"", ""口"", ""衣""]","[69, 593, 4812]",口,9,アイ,"[""アイ""]",あわ・れ,悲しいさま,āi,,ai,1,none,N1
愛,"[""心"", ""夂""]","[1563, 980]",心,13,アイ,"[""アイ""]",め・でる、お・しむ、まな,慈しみ可愛がる,ài,,ai,4,none,N1+
挨,"[""厶"", ""大"", ""矢"", ""矣""]","[574, 994, 3530, 3531]",手,10,アイ,"[""アイ""]",,押す、迫る,āi,,ai,1,none,N1+
姶,"[""女"", ""口"", ""合""]","[1028, 593, 615]",女,9,オウ,"[""オウ""]",あい,,è,,e,4,none,N1+
逢,"[""夂"", ""三""]","[980, 5]",道-首,10,ホウ,"[""ホウ""]",あ・う,会う,féng,f,eng,2,ng,N1+
葵,"[""癶"", ""大"", ""天"", ""癸""]","[3423, 994, 995, 3424]",艸,12,キ,"[""キ""]",あおい,草木の名,kuí,k,ui,2,none,N1+
茜,"[""西""]",[4899],艸,9,セン,"[""セン""]",あかね,あかね（植物）、赤い色,qiàn,q,ian,4,n,N1+
穐,"[""千"", ""木"", ""禾"", ""日"", ""曰"", ""亀""]","[528, 2240, 3649, 2122, 2211, 49]",禾,16,シュウ,"[""シュウ""]",あき、とき,秋,qiū,q,iu,1,none,N1+
悪,"[""二"", ""口"", ""亜"", ""心""]","[57, 593, 66, 1563]",心,11,アク,"[""アク""]",わる・い,正しくない,è,,e,4,none,N4
握,"[""尸"", ""厶"", ""土"", ""至"", ""屋""]","[1241, 574, 844, 4338, 1255]",手,12,アク,"[""アク""]",にぎ・る,,wò,w,o,4,none,N1
渥,"[""尸"", ""厶"", ""土"", ""至"", ""屋""]","[1241, 574, 844, 4338, 1255]",水,12,アク,"[""アク""]",,厚い,wò,w,o,4,none,N1+
旭,"[""日"", ""九""]","[2122, 42]",日,6,キョク,"[""キョク""]",あさひ,朝日,xù,x,u,4,none,N1+
葦,"[""口"", ""韋""]","[593, 5894]",艸,12,イ,"[""イ""]",あし,蘆が伸びたもの、葭（あし）は生えたて,wěi,w,ei,3,none,N1+
芦,"[""尸"", ""戸""]","[1241, 1806]",艸,7,ロ,"[""ロ""]",あし,水際に自生する植物の名,lú,l,u,2,none,N1+
鯵,"[""田"", ""魚"", ""厶"", ""大"", ""彡"", ""参""]","[3303, 6114, 574, 994, 1517, 576]",魚,19,ソウ,"[""ソウ""]",あじ,魚の名,shēn,sh,en,1,n,N1+
梓,"[""木"", ""立"", ""十"", ""辛""]","[2240, 3738, 527, 5333]",木,11,シ,"[""シ""]",あずさ,落葉樹の一つ,zǐ,z,i,3,none,N1+
圧,"[""厂"", ""土""]","[559, 844]",土,5,アツ,"[""アツ""]",,押す、押さえつける,yā,y,a,1,none,N1+
斡,"[""十"", ""日"", ""斗""]","[527, 2122, 2089]",斗,14,アツ,"[""アツ"", ""ワチ""]",めぐ・る,円を描いてまわる,wò,w,o,4,none,N1+
扱,"[""及""]",[580],手,6,ソウ,"[""ソウ""]",あつか・う,手にかける、計らう、もてなす,xī,x,i,1,none,N1
宛,"[""宀"", ""夕""]","[1151, 985]",宀,8,エン,"[""エン""]",あて、あたか・も,割り当てる、名指す,wǎn,w,an,3,n,N1+
姐,"[""女"", ""且""]","[1028, 12]",女,8,ソ,"[""ソ"", ""シャ"", ""サ""]",あね,女子、娘,jiě,j,ie,3,none,N1+
虻,"[""虫"", ""亠"", ""亡""]","[4680, 69, 70]",虫,9,ボウ,"[""ボウ"", ""モウ""]",あぶ,虫の名,méng,m,eng,2,ng,N1+
飴,"[""艮"", ""良"", ""食"", ""厶"", ""口"", ""台""]","[4387, 4388, 5957, 574, 593, 604]",食,14,イ,"[""イ""]",あめ,菓子の一種,yí,y,i,2,none,N1+
絢,"[""幺"", ""小"", ""糸"", ""勹"", ""日"", ""旬""]","[1415, 1230, 3930, 496, 2122, 2127]",糸,12,ケン,"[""ケン""]",あや,美しい,xuàn,x,uan,4,n,N1+
綾,"[""幺"", ""小"", ""糸"", ""土"", ""夂""]","[1415, 1230, 3930, 844, 980]",糸,14,リョウ,"[""リョウ"", ""リン""]",あや,浮き出た感じに模様を織りこんだ薄い絹布,líng,l,ing,2,ng,N1+
鮎,"[""田"", ""魚"", ""占""]","[3303, 6114, 545]",魚,16,ネン,"[""ネン"", ""デン""]",あゆ,,nián,n,ian,2,n,N1+
或,"[""戈"", ""口""]","[1781, 593]",戈,8,コク,"[""コク"", ""ワク""]",あるい・は,もしかしたら,huò,h,uo,4,none,N1+
粟,"[""西"", ""米""]","[4899, 3881]",米,12,ゾク,"[""ゾク"", ""ショク""]",あわ,穀物の一種,sù,s,u,4,none,N1+
袷,"[""衣"", ""口"", ""合""]","[4812, 593, 615]",衣,11,コウ,"[""コウ""]",あわせ,裏の付いた着物,jiá,j,ia,2,none,N1+
安,"[""宀"", ""女""]","[1151, 1028]",宀,6,アン,"[""アン""]",やす・い,,ān,,an,1,n,N5
庵,"[""广"", ""大"", ""奄""]","[1420, 994, 1006]",广,11,アン,"[""アン""]",いおり,草葺きの小さな家、茶室,ān,,an,1,n,N1+
按,"[""宀"", ""女"", ""安""]","[1151, 1028, 1156]",手,9,アン,"[""アン""]",,手で押える、止める,àn,,an,4,n,N1+
暗,"[""日"", ""立"", ""日"", ""音""]","[2122, 3738, 2122, 5900]",日,13,アン,"[""アン""]",くら・い,光がない、愚か,àn,,an,4,n,N4
案,"[""木"", ""宀"", ""女"", ""安""]","[2240, 1151, 1028, 1156]",木,10,アン,"[""アン""]",あん、あん・ずる,机、考える,àn,,an,4,n,N4
闇,"[""門"", ""立"", ""日"", ""音""]","[5689, 3738, 2122, 5900]",門,17,アン,"[""アン""]",やみ,暗い、正当でない、愚か,àn,,an,4,n,N1+
鞍,"[""廿"", ""口"", ""十"", ""革"", ""宀"", ""女"", ""安""]","[1473, 593, 527, 5865, 1151, 1028, 1156]",革,15,アン,"[""アン""]",くら,牛馬の背に載せ、その上に荷などを載せるための道具,ān,,an,1,n,N1+
杏,"[""木"", ""口""]","[2240, 593]",木,7,アン,"[""アン"", ""キョウ""]",あんず,果樹の名,xìng,x,ing,4,ng,N1+
以,"[""丶"", ""人""]","[24, 83]",人,5,イ,"[""イ""]",も・って,用いて,yǐ,y,i,3,none,N4
伊,"[""尹""]",[1242],人,6,イ,"[""イ""]",,これ、この,yī,y,i,1,none,N1+
位,"[""立""]",[3738],人,7,イ,"[""イ""]",くらい,,wèi,w,ei,4,none,N1+
依,"[""亠"", ""衣""]","[69, 4812]",人,8,イ,"[""イ"", ""エ""]",よ・る,寄りかかる、基づく,yī,y,i,1,none,N1
偉,"[""口"", ""韋""]","[593, 5894]",人,12,イ,"[""イ""]",えら・い,勝れている、身体が大きい,wěi,w,ei,3,none,N1
囲,"[""囗"", ""井""]","[816, 62]",囗,7,イ,"[""イ""]",かこ・む,めぐらす,tōng,t,ong,1,ng,N1+
夷,"[""弓"", ""人"", ""大""]","[1485, 83, 994]",大,6,イ,"[""イ""]",えびす,,yí,y,i,2,none,N1+
委,"[""千"", ""木"", ""禾"", ""女""]","[528, 2240, 3649, 1028]",女,8,イ,"[""イ""]",くわ・しい、ゆだ・ねる,,wěi,w,ei,3,none,N1+
威,"[""厂"", ""戈"", ""女""]","[559, 1781, 1028]",女,9,イ,"[""イ""]",おど・す,,wēi,w,ei,1,none,N1
尉,"[""尸"", ""二"", ""小"", ""示"", ""寸""]","[1241, 57, 1230, 3606, 1214]",寸,11,イ,"[""イ""]",,盗賊を捕まえる地方官,wèi,w,ei,4,none,N1
惟,"[""隹""]",[5794],心,11,イ,"[""イ"", ""ユイ""]",これ,,wéi,w,ei,2,none,N1+
意,"[""立"", ""日"", ""心""]","[3738, 2122, 1563]",心,13,イ,"[""イ""]",,あれこれ思いはかる、物事にこめられている内容,yì,y,i,4,none,N4
慰,"[""尸"", ""二"", ""小"", ""示"", ""寸"", ""尉"", ""心""]","[1241, 57, 1230, 3606, 1214, 1225, 1563]",心,15,イ,"[""イ""]",なぐさ・める,安んじる、弄ぶ,wèi,w,ei,4,none,N1
易,"[""日"", ""勹"", ""勿""]","[2122, 496, 499]",日,8,エキ,"[""エキ""]",やす・い,,yì,y,i,4,none,N3
椅,"[""木"", ""大"", ""口"", ""丁"", ""可"", ""奇""]","[2240, 994, 593, 1, 603, 1007]",木,12,イ,"[""イ""]",,いす（椅子）,yǐ,y,i,3,none,N1+
為,[],[],火,9,イ,"[""イ""]",な・す、ため,する、理由・目的を表す助詞,wèi,w,ei,4,none,N1
畏,"[""田""]",[3303],田,9,イ,"[""イ""]",おそ・れる、かしこ・まる,恐れ多く思う,wèi,w,ei,4,none,N1+
異,"[""田"", ""共""]","[3303, 329]",田,11,イ,"[""イ""]",こと・なる,,yì,y,i,4,none,N1+
移,"[""千"", ""木"", ""禾"", ""夕"", ""多""]","[528, 2240, 3649, 985, 989]",禾,11,イ,"[""イ""]",うつ・る,場所が変わる,yí,y,i,2,none,N1+
維,"[""幺"", ""小"", ""糸"", ""隹""]","[1415, 1230, 3930, 5794]",糸,14,イ,"[""イ"", ""ユイ""]",,,wéi,w,ei,2,none,N1
緯,"[""幺"", ""小"", ""糸"", ""口"", ""韋""]","[1415, 1230, 3930, 593, 5894]",糸,16,イ,"[""イ""]",,横糸,wěi,w,ei,3,none,N1
胃,"[""田"", ""月""]","[3303, 2225]",月,9,イ,"[""イ""]",,,wèi,w,ei,4,none,N1+
萎,"[""千"", ""木"", ""禾"", ""女"", ""委""]","[528, 2240, 3649, 1028, 1057]",艸,11,イ,"[""イ""]",な・える、しお・れる,,wēi,w,ei,1,none,N1+
衣,"[""亠""]",[69],衣,6,イ,"[""イ"", ""エ""]",ころも,上着、服の総称,yī,y,i,1,none,N2
謂,"[""言"", ""田"", ""月"", ""胃""]","[4935, 3303, 2225, 4239]",言,16,イ,"[""イ""]",い・う,言う、告げる、いわれ,wèi,w,ei,4,none,N1+
違,"[""口"", ""韋""]","[593, 5894]",道-首,13,イ,"[""イ""]",ちが・う,同じでない,wéi,w,ei,2,none,N1
遺,"[""口"", ""目"", ""貝"", ""貴""]","[593, 3470, 5126, 5143]",道-首,15,イ,"[""イ"", ""ユイ""]",の・こす,残す、忘れる、捨てる,yí,y,i,2,none,N1+
医,"[""匚"", ""大"", ""矢""]","[512, 994, 3530]",匚,8,イ,"[""イ""]",,病気を治す人,yī,y,i,1,none,N4
井,"[""二""]",[57],二,4,イ,"[""イ""]",,,jǐng,j,ing,3,ng,N1
亥,"[""亠""]",[69],亠,6,ガイ,"[""ガイ""]",い,猪（動物）、北北西,hài,h,ai,4,none,N1+
域,"[""土"", ""口"", ""或""]","[844, 593, 1791]",土,11,イキ,"[""イキ""]",,区画された一定の場所,yù,y,u,4,none,N1+
育,"[""亠"", ""厶"", ""月""]","[69, 574, 2225]",肉,8,イク,"[""イク""]",そだ・つ,成長する,yù,y,u,4,none,N4
郁,"[""月"", ""有""]","[2225, 2226]",邑,9,イク,"[""イク""]",,,yù,y,u,4,none,N1+
磯,"[""口"", ""石"", ""幺"", ""人"", ""戈"", ""幾""]","[593, 3538, 1415, 83, 1781, 1419]",石,17,キ,"[""キ""]",いそ,岩石の多い海岸,jī,j,i,1,none,N1+
一,[],[],一,1,イチ,"[""イチ"", ""イツ""]",ひと・つ,,yī,y,i,1,none,N5
壱,"[""冖"", ""匕"", ""士""]","[349, 508, 967]",士,7,イチ,"[""イチ"", ""イツ""]",ひと・つ,,yī,y,i,1,none,N1
溢,"[""一"", ""八"", ""皿"", ""益""]","[0, 325, 3450, 3455]",水,13,イツ,"[""イツ""]",あふ・れる,満ちてこぼれる,yì,y,i,4,none,N1+
逸,"[""儿"", ""免""]","[301, 313]",道-首,11,イツ,"[""イツ""]",,逃れる,yì,y,i,4,none,N1
稲,"[""千"", ""木"", ""禾"", ""日"", ""旧""]","[528, 2240, 3649, 2122, 2124]",禾,14,トウ,"[""トウ""]",いね、いな,,dào,d,ao,4,none,N1
茨,"[""冫"", ""人"", ""欠"", ""次""]","[359, 83, 2595, 2596]",艸,9,ジ,"[""ジ"", ""シ""]",いばら,刺のある小木,cí,c,i,2,none,N1+
芋,"[""二"", ""亅"", ""于""]","[57, 51, 58]",艸,6,ウ,"[""ウ""]",いも,,yù,y,u,4,none,N1
鰯,"[""田"", ""魚"", ""弓"", ""弱""]","[3303, 6114, 1485, 1499]",魚,21,,[],いわし,魚の名,ruò,r,uo,4,none,N1+
允,"[""厶"", ""儿""]","[574, 301]",儿,4,イン,"[""イン""]",,,yǔn,y,un,3,n,N1+
印,"[""卩""]",[547],卩,6,イン,"[""イン""]",しるし、しる・す,しるしとするもの,yìn,y,in,4,n,N3
咽,"[""口"", ""囗"", ""大"", ""因""]","[593, 816, 994, 821]",口,9,イン,"[""イン""]",,喉,yàn,y,an,4,n,N1+
員,"[""口"", ""目"", ""貝""]","[593, 3470, 5126]",口,10,イン,"[""イン""]",,,yuán,y,uan,2,n,N4
因,"[""大"", ""囗""]","[994, 816]",囗,6,イン,"[""イン""]",よ・る、ちな・みに,,yīn,y,in,1,n,N3
姻,"[""女"", ""囗"", ""大"", ""因""]","[1028, 816, 994, 821]",女,9,イン,"[""イン""]",,婿の家,yīn,y,in,1,n,N1
引,"[""弓""]",[1485],弓,4,イン,"[""イン""]",ひ・く,,yǐn,y,in,3,n,N4
飲,"[""艮"", ""良"", ""食"", ""人"", ""欠""]","[4387, 4388, 5957, 83, 2595]",食,12,イン,"[""イン"", ""オン""]",の・む,液体を口からとり込む,yǐn,y,in,3,n,N5
淫,"[""千"", ""士"", ""壬""]","[528, 967, 968]",水,11,イン,"[""イン""]",みだ・ら,乱れる,yín,y,in,2,n,N1+
胤,"[""丿"", ""幺"", ""月""]","[29, 1415, 2225]",月,9,イン,"[""イン""]",たね,子孫,yìn,y,in,4,n,N1+
蔭,"[""今"", ""二"", ""厶"", ""云"", ""陰""]","[90, 57, 574, 59, 5758]",艸,14,イン,"[""イン""]",かげ、かげ・る,（日が）陰る,yīn,y,in,1,n,N1+
院,"[""宀"", ""元"", ""完""]","[1151, 304, 1158]",阜,10,イン,"[""イン"", ""エン""]",,寺、役所、屋敷,yuàn,y,uan,4,n,N5
陰,"[""今"", ""二"", ""厶"", ""云""]","[90, 57, 574, 59]",阜,11,イン,"[""イン"", ""オン""]",かげ、かげ・る,,yīn,y,in,1,n,N1
隠,"[""心""]",[1563],阜,14,イン,"[""イン"", ""オン""]",かく・す、かく・れる,見えないようにする,yǐn,y,in,3,n,N1
韻,"[""音"", ""口"", ""目"", ""貝""]","[5900, 593, 3470, 5126]",音,19,イン,"[""イン"", ""ウン""]",,響き,yùn,y,un,4,n,N1
吋,"[""口"", ""寸""]","[593, 1214]",口,6,トウ,"[""トウ""]",,叱る、インチ（長さの単位）,cùn,c,un,4,n,N1+
右,"[""口""]",[593],口,5,ウ,"[""ウ"", ""ユウ""]",みぎ,,yòu,y,ou,4,none,N5
宇,"[""宀"", ""二"", ""亅"", ""于""]","[1151, 57, 51, 58]",宀,6,ウ,"[""ウ""]",,軒下（のきした）、屋根、家,yǔ,y,u,3,none,N1+
烏,[],[],火,10,ウ,"[""ウ"", ""オ""]",からす,鳥の名,wū,w,u,1,none,N1+
羽,[],[],羽,6,ウ,"[""ウ""]",はね,鳥のはね、鳥などを数える語,yǔ,y,u,3,none,N1+
迂,"[""二"", ""亅"", ""于""]","[57, 51, 58]",道-首,6,ウ,"[""ウ""]",,回りくどい、曲がる、遠い,yū,y,u,1,none,N1+
雨,[],[],雨,8,ウ,"[""ウ""]",あま、あめ,,yǔ,y,u,3,none,N5
卯,"[""卩""]",[547],卩,5,ボウ,"[""ボウ""]",う,兎（動物）,mǎo,m,ao,3,none,N1+
鵜,"[""弓"", ""弟"", ""鳥""]","[1485, 1492, 6187]",鳥,18,テイ,"[""テイ""]",う,水鳥の名,tí,t,i,2,none,N1+
窺,"[""宀"", ""八"", ""穴"", ""夫"", ""目"", ""見""]","[1151, 325, 3707, 997, 3470, 4906]",穴,16,キ,"[""キ""]",うかが・う,こっそり見る,kuī,k,ui,1,none,N1+
丑,"[""一""]",[0],一,4,チュウ,"[""チュウ""]",うし,牛（動物）,chǒu,ch,ou,3,none,N1+
碓,"[""口"", ""石"", ""隹""]","[593, 3538, 5794]",石,13,タイ,"[""タイ""]",,米をつく道具,duì,d,ui,4,none,N1+
臼,[],[],臼,6,キュウ,"[""キュウ"", ""グ""]",うす,米をつく道具,jiù,j,iu,4,none,N1+
渦,"[""冂"", ""口"", ""咼""]","[336, 593, 681]",水,12,カ,"[""カ""]",うず,,wō,w,o,1,none,N1
嘘,"[""口"", ""七"", ""虍"", ""虚""]","[593, 2, 4670, 4675]",口,14,キョ,"[""キョ"", ""コ""]",うそ,うそぶく,xū,x,u,1,none,N1+
唄,"[""口"", ""目"", ""貝""]","[593, 3470, 5126]",口,10,バイ,"[""バイ""]",うた,歌,bei,b,ei,5,none,N1+
欝,"[""木"", ""林"", ""寸""]","[2240, 2292, 1214]",木,25,ウツ,"[""ウツ"", ""ウチ""]",,木がこんもりと茂る、塞がる,yù,y,u,4,none,N1+
蔚,"[""尸"", ""示"", ""寸"", ""尉""]","[1241, 3606, 1214, 1225]",艸,14,ウツ,"[""ウツ""]",,おとこよもぎ（草の名）,wèi,w,ei,4,none,N1+
鰻,"[""田"", ""魚"", ""日"", ""又"", ""曼""]","[3303, 6114, 2122, 578, 2219]",魚,22,マン,"[""マン"", ""バン""]",うなぎ,魚の一種,mán,m,an,2,n,N1+
姥,"[""女"", ""土"", ""丿"", ""匕"", ""老""]","[1028, 844, 29, 508, 4171]",女,9,ボ,"[""ボ"", ""モ""]",うば,年を取った女性,lǎo,l,ao,3,none,N1+
厩,"[""厂"", ""旡"", ""既""]","[559, 2120, 2121]",厂,12,キュウ,"[""キュウ""]",うまや,馬小屋,jiù,j,iu,4,none,N1+
浦,"[""甫""]",[3301],水,10,ホ,"[""ホ""]",うら,,pǔ,p,u,3,none,N2
瓜,"[""爪""]",[3103],瓜,6,カ,"[""カ"", ""ケ""]",うり,野菜の名,guā,g,ua,1,none,N1+
閏,"[""門"", ""王""]","[5689, 3207]",門,12,ジュン,"[""ジュン""]",うるう,,rùn,r,un,4,n,N1+
噂,"[""口"", ""兀"", ""酉"", ""酋"", ""寸"", ""尊""]","[593, 302, 5483, 5485, 1214, 1226]",口,15,ソン,"[""ソン""]",うわさ,,zǔn,z,un,3,n,N1+
云,"[""二"", ""厶""]","[57, 574]",二,4,ウン,"[""ウン""]",い・う,,yún,y,un,2,n,N1+
運,"[""冖"", ""車"", ""軍""]","[349, 5280, 5283]",道-首,12,ウン,"[""ウン""]",はこ・ぶ,物を持って移動する,yùn,y,un,4,n,N4
雲,"[""雨"", ""二"", ""厶"", ""云""]","[5816, 57, 574, 59]",雨,12,ウン,"[""ウン""]",くも,,yún,y,un,2,n,N5
荏,"[""千"", ""士"", ""壬"", ""任""]","[528, 967, 968, 112]",艸,9,ジン,"[""ジン"", ""ニン""]",,大豆、えごま,rěn,r,en,3,n,N1+
餌,"[""艮"", ""良"", ""食"", ""耳""]","[4387, 4388, 5957, 4187]",食,15,ジ,"[""ジ"", ""ニ""]",えさ,動物に与える食料,ěr,,er,3,none,N1+
叡,"[""冖"", ""八"", ""目"", ""又""]","[349, 325, 3470, 578]",又,16,エイ,"[""エイ""]",,明らか、天子に関することがらの冠称,ruì,r,ui,4,none,N1+
営,"[""冖"", ""口"", ""呂""]","[349, 593, 643]",ツ,12,エイ,"[""エイ""]",いとな・む,陣屋・軍隊・周囲をとり巻く・仕事を切り盛りする,yíng,y,ing,2,ng,N1+
嬰,"[""目"", ""貝"", ""女""]","[3470, 5126, 1028]",女,17,エイ,"[""エイ""]",,みどり児（生まれたての子）,yīng,y,ing,1,ng,N1+
影,"[""日"", ""亠"", ""口"", ""小"", ""京"", ""彡""]","[2122, 69, 593, 1230, 77, 1517]",彡,15,エイ,"[""エイ""]",かげ,光が遮られて暗い部分,yǐng,y,ing,3,ng,N1
映,"[""日"", ""大"", ""央""]","[2122, 994, 1000]",日,9,エイ,"[""エイ""]",うつ・る、は・える,光が反射する,yìng,y,ing,4,ng,N3
曳,"[""日""]",[2122],曰,6,エイ,"[""エイ""]",ひ・く,引く,yè,y,e,4,none,N1+
栄,"[""冖"", ""木""]","[349, 2240]",木,9,エイ,"[""エイ""]",さか・える、は・える,,róng,r,ong,2,ng,N1+
永,"[""丶"", ""水""]","[24, 2682]",水,5,エイ,"[""エイ""]",なが・い,久しい、時間が長い,yǒng,y,ong,3,ng,N1+
泳,"[""丶"", ""水"", ""永""]","[24, 2682, 2684]",水,8,エイ,"[""エイ"", ""ヨウ""]",およ・ぐ,水中に体を浮かせて進む,yǒng,y,ong,3,ng,N1+
洩,"[""日"", ""曳""]","[2122, 2213]",水,9,エツ,"[""エツ"", ""セツ""]",も・れる,漏れる、減る,xiè,x,ie,4,none,N1+
瑛,"[""王"", ""大"", ""央""]","[3207, 994, 1000]",王,12,エイ,"[""エイ""]",,玉の光、透明な玉,yīng,y,ing,1,ng,N1+
盈,"[""乃"", ""又"", ""皿""]","[31, 578, 3450]",皿,9,エイ,"[""エイ""]",,満ちる、溢れる,yíng,y,ing,2,ng,N1+
穎,"[""匕"", ""千"", ""木"", ""禾"", ""自"", ""目"", ""貝"", ""頁""]","[508, 528, 2240, 3649, 4336, 3470, 5126, 5905]",禾,16,エイ,"[""エイ""]",,のぎ（穂先）、尖ったものの先端,yǐng,y,ing,3,ng,N1+
頴,"[""匕"", ""示"", ""自"", ""目"", ""貝"", ""頁""]","[508, 3606, 4336, 3470, 5126, 5905]",示,16,エイ,"[""エイ""]",,のぎ（穂先）、尖ったものの先端,yǐng,y,ing,3,ng,N1+
英,"[""大"", ""央""]","[994, 1000]",艸,8,エイ,"[""エイ""]",はなぶさ,,yīng,y,ing,1,ng,N5
衛,"[""彳"", ""口"", ""韋"", ""行""]","[1527, 593, 5894, 4801]",行,16,エイ,"[""エイ""]",,守る,wèi,w,ei,4,none,N4
詠,"[""言"", ""丶"", ""水"", ""永""]","[4935, 24, 2682, 2684]",言,12,エイ,"[""エイ""]",うた・う、よ・む,節をつけて詩歌を読む,yǒng,y,ong,3,ng,N1
鋭,"[""金"", ""八"", ""口"", ""儿"", ""兌""]","[5534, 325, 593, 301, 312]",金,15,エイ,"[""エイ""]",するど・い,先が細く尖っている,ruì,r,ui,4,none,N1
液,"[""亠"", ""夜""]","[69, 991]",水,11,エキ,"[""エキ""]",,,yè,y,e,4,none,N2
疫,"[""广"", ""几"", ""又""]","[1420, 380, 578]",病-丙,9,エキ,"[""エキ"", ""ヤク""]",,流行病,yì,y,i,4,none,N1
益,"[""八"", ""皿""]","[325, 3450]",皿,10,エキ,"[""エキ"", ""ヤク""]",ま・す,増す、もうけ,yì,y,i,4,none,N1+
駅,"[""馬"", ""尺""]","[6005, 1243]",馬,14,エキ,"[""エキ""]",,宿場,yì,y,i,4,none,N5
悦,"[""八"", ""口"", ""儿"", ""兌""]","[325, 593, 301, 312]",心,10,エツ,"[""エツ""]",よろこ・ぶ,喜ぶ、うれしい,yuè,y,ue,4,none,N1
謁,"[""言"", ""曰"", ""日"", ""勹"", ""匕"", ""匂""]","[4935, 2211, 2122, 496, 508, 501]",言,15,エツ,"[""エツ""]",,告げる、身分の高い人に面会する,yè,y,e,4,none,N1
越,"[""土"", ""走"", ""戈"", ""戉""]","[844, 5195, 1781, 1782]",走,12,エツ,"[""エツ""]",こ・す,物の上を通りすぎる,yuè,y,ue,4,none,N4
閲,"[""門"", ""八"", ""口"", ""儿"", ""兌""]","[5689, 325, 593, 301, 312]",門,15,エツ,"[""エツ""]",,改めて見る,yuè,y,ue,4,none,N1
榎,"[""木"", ""目"", ""夂"", ""夏""]","[2240, 3470, 980, 983]",木,14,カ,"[""カ""]",えのき,えのき（植物）,jiǎ,j,ia,3,none,N1+
厭,"[""厂"", ""日"", ""月"", ""冐""]","[559, 2122, 2225, 344]",厂,14,エン,"[""エン""]",あ・きる、いや、いと・う,嫌がる、飽きる,yàn,y,an,4,n,N1+
円,"[""冂""]",[336],冂,4,エン,"[""エン""]",まる・い,,yuán,y,uan,2,n,N5
園,"[""囗"", ""土"", ""口"", ""袁""]","[816, 844, 593, 4822]",囗,13,エン,"[""エン""]",その,,yuán,y,uan,2,n,N4
堰,"[""土"", ""匚"", ""日"", ""女""]","[844, 512, 2122, 1028]",土,12,エン,"[""エン""]",せき,水流を止めたり調節したりするための土を盛って作った仕切り,yàn,y,an,4,n,N1+
奄,"[""大"", ""日""]","[994, 2122]",大,8,エン,"[""エン""]",,覆う、たちまち,yǎn,y,an,3,n,N1+
宴,"[""宀"", ""日"", ""曰"", ""女""]","[1151, 2122, 2211, 1028]",宀,10,エン,"[""エン""]",うたげ,,yàn,y,an,4,n,N2
延,"[""廴"", ""止""]","[1465, 2618]",廴,8,エン,"[""エン""]",の・びる,,yán,y,an,2,n,N2
怨,"[""夕"", ""心""]","[985, 1563]",心,9,エン,"[""エン"", ""オン""]",うら・む,,yuàn,y,uan,4,n,N1+
掩,"[""大"", ""日"", ""奄""]","[994, 2122, 1006]",手,11,エン,"[""エン""]",,覆う、隠す、庇う,yǎn,y,an,3,n,N1+
援,"[""又"", ""友"", ""爰""]","[578, 581, 3106]",手,12,エン,"[""エン""]",,助ける,yuán,y,uan,2,n,N1
沿,"[""八"", ""口""]","[325, 593]",水,8,エン,"[""エン""]",そ・う,水路や道などにそっていく,yán,y,an,2,n,N1+
演,"[""宀"", ""田"", ""八"", ""寅""]","[1151, 3303, 325, 1187]",水,14,エン,"[""エン""]",,述べる、行う,yǎn,y,an,3,n,N1+
炎,"[""人"", ""火""]","[83, 3012]",火,8,エン,"[""エン""]",ほのお,,yán,y,an,2,n,N2
焔,"[""人"", ""火"", ""日"", ""旧""]","[83, 3012, 2122, 2124]",火,11,エン,"[""エン""]",,めらめらともえる火,yàn,y,an,4,n,N1+
煙,"[""人"", ""火"", ""土""]","[83, 3012, 844]",火,13,エン,"[""エン""]",けむり、けむ・る,,yān,y,an,1,n,N1
燕,"[""廿"", ""口"", ""匕"", ""北""]","[1473, 593, 508, 510]",火,16,エン,"[""エン""]",つばめ,鳥の名,yàn,y,an,4,n,N1+
猿,"[""土"", ""口"", ""袁""]","[844, 593, 4822]",犬,12,エン,"[""エン""]",さる,,yuán,y,uan,2,n,N1
縁,"[""幺"", ""小"", ""糸"", ""豕""]","[1415, 1230, 3930, 5106]",糸,15,エン,"[""エン""]",ふち、へり,物の周辺部、つづきあい,yuán,y,uan,2,n,N4
艶,"[""曲"", ""口"", ""豆"", ""巴"", ""色""]","[2212, 593, 5100, 1366, 4390]",色,19,エン,"[""エン""]",つや、あで・やか、なま・めかしい,上品でなまめかしい,yàn,y,an,4,n,N1+
苑,"[""夕""]",[985],艸,8,エン,"[""エン"", ""オン""]",その,まるい囲いを設けた園,yuàn,y,uan,4,n,N1+
薗,"[""囗"", ""土"", ""口"", ""袁""]","[816, 844, 593, 4822]",艸,16,エン,"[""エン""]",,,yuán,y,uan,2,n,N1+
