kanji,components,component_ids,radical,stroke_count,onyomi,onyomi_all,kunyomi,meaning,pinyin,pinyin_initial,pinyin_final,pinyin_tone,nasal_coda,jlpt_level
簑,"[""竹"", ""亠"", ""口"", ""衣"", ""衰""]","[3761, 69, 593, 4812, 4815]",竹,16,サ,"[""サ""]",みの,茅や菅（すげ）などで作った防雨具,suō,s,uo,1,none,N1+
簔,"[""竹"", ""亠"", ""衣"", ""衰""]","[3761, 69, 4812, 4815]",竹,17,サ,"[""サ""]",みの,茅や菅（すげ）などで作った防雨具,suō,s,uo,1,none,N1+
篦,"[""竹"", ""匕"", ""比""]","[3761, 508, 2665]",竹,16,ヘイ,"[""ヘイ""]",へら,竹製のへら,bì,b,i,4,none,N1+
篥,"[""竹"", ""西"", ""木"", ""栗""]","[3761, 4899, 2240, 2341]",竹,16,リキ,"[""リキ"", ""リツ""]",,竹の一種,lì,l,i,4,none,N1+
籠,"[""竹"", ""立"", ""月"", ""龍""]","[3761, 3738, 2225, 6344]",竹,21,ル,"[""ル"", ""ロウ""]",かご、こも・る,竹で編んだ物を入れる器,lóng,l,ong,2,ng,N1
簀,"[""竹"", ""目"", ""貝"", ""責""]","[3761, 3470, 5126, 5136]",竹,17,サク,"[""サク""]",,すのこ（竹で編んで作った敷物）,zé,z,e,2,none,N1+
簇,"[""竹"", ""亠"", ""万"", ""方"", ""大"", ""矢"", ""族""]","[3761, 69, 3, 2104, 994, 3530, 2114]",竹,17,ソウ,"[""ソウ"", ""ゾク""]",,群がる,cù,c,u,4,none,N1+
簓,"[""竹"", ""口"", ""彡""]","[3761, 593, 1517]",竹,17,セン,"[""セン""]",ささら,竹の先を細かく割った道具,diāo,d,iao,1,none,N1+
篳,"[""竹"", ""日"", ""畢""]","[3761, 2122, 3328]",竹,17,ヒツ,"[""ヒツ""]",まがき,柴竹で編んで造った垣根,bì,b,i,4,none,N1+
篷,"[""竹"", ""夂""]","[3761, 980]",竹,17,ホウ,"[""ホウ""]",とま,茅や竹などを編んで舟や車まどを覆うもの,péng,p,eng,2,ng,N1+
簗,"[""竹"", ""刀"", ""木"", ""梁""]","[3761, 396, 2240, 2377]",竹,17,,[],やな,木や竹を並べて河水を堰きとめ魚を捕まえるしかけ,zhù,zh,u,4,none,N1+
簍,"[""竹"", ""口"", ""女"", ""婁""]","[3761, 593, 1028, 1085]",竹,17,ロウ,"[""ロウ"", ""ル""]",,竹篭,lǒu,l,ou,3,none,N1+
篶,"[""竹"", ""止"", ""正"", ""焉""]","[3761, 2618, 2619, 3040]",竹,17,エン,"[""エン""]",すず,細い竹,yān,y,an,1,n,N1+
簣,"[""竹"", ""目"", ""貝"", ""貴""]","[3761, 3470, 5126, 5143]",竹,18,キ,"[""キ""]",もっこ,土を運ぶための竹製の器物,kuì,k,ui,4,none,N1+
簧,"[""竹"", ""廿"", ""田""]","[3761, 1473, 3303]",竹,18,コウ,"[""コウ""]",,笛の舌,huáng,h,uang,2,ng,N1+
簪,"[""竹"", ""日""]","[3761, 2122]",竹,18,サン,"[""サン""]",かんざし,冠をとめるために髪にさすもの,zān,z,an,1,n,N1+
簟,"[""竹"", ""西"", ""日"", ""十"", ""早"", ""覃""]","[3761, 4899, 2122, 527, 2126, 4901]",竹,18,テン,"[""テン""]",むしろ,竹や葦で編んだ敷物,diàn,d,ian,4,n,N1+
